v2_declaration	decision	v3_declaration	rationale
github.com/floegence/floret/v2/runtime :: field CompactThreadRequest.RequestID string	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadRequest.Source string	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadRequest.Labels github.com/floegence/floret/v2/runtime.RunLabels	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadRequest.Limits github.com/floegence/floret/v2/runtime.TurnLimits	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadRequest.Reasoning github.com/floegence/floret/v2/config.ReasoningSelection	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: type CompactThreadResult struct	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadResult.ThreadID github.com/floegence/floret/v2/runtime.ThreadID tag="json:\"thread_id\""	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadResult.RunID github.com/floegence/floret/v2/runtime.RunID tag="json:\"run_id\""	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadResult.RequestID string tag="json:\"request_id\""	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadResult.Compaction github.com/floegence/floret/v2/observation.CompactionEvent tag="json:\"compaction\""	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadResult.Metrics github.com/floegence/floret/v2/runtime.RunMetrics tag="json:\"metrics\""	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadResult.ActivityTimeline github.com/floegence/floret/v2/observation.ActivityTimeline tag="json:\"activity_timeline\""	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CompactThreadResult.Replayed bool tag="json:\"replayed,omitempty\""	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: method CompactThreadResult.Validate func() error	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: type ContractError struct	keep	github.com/floegence/floret/v3/runtime :: type ContractError struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field ContractError.Contract string	keep	github.com/floegence/floret/v3/runtime :: field ContractError.Contract string	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field ContractError.Err error	keep	github.com/floegence/floret/v3/runtime :: field ContractError.Err error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: method *ContractError.Error func() string	keep	github.com/floegence/floret/v3/runtime :: method *ContractError.Error func() string	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: method *ContractError.Unwrap func() error	keep	github.com/floegence/floret/v3/runtime :: method *ContractError.Unwrap func() error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: method *ContractError.Is func(target error) bool	keep	github.com/floegence/floret/v3/runtime :: method *ContractError.Is func(target error) bool	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: const CoreControlAskUser untyped string = "ask_user"	keep	github.com/floegence/floret/v3/runtime :: const CoreControlAskUser untyped string = "ask_user"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: func CoreControlDefinitions func(includeTaskComplete bool) []github.com/floegence/floret/v2/tools.ToolDefinition	keep	github.com/floegence/floret/v3/runtime :: func CoreControlDefinitions func(includeTaskComplete bool) []github.com/floegence/floret/v3/tools.ToolDefinition	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: const CoreControlTaskComplete untyped string = "task_complete"	keep	github.com/floegence/floret/v3/runtime :: const CoreControlTaskComplete untyped string = "task_complete"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: type CreateIntentID string	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: type CreateThreadRequest struct	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CreateThreadRequest.ThreadID github.com/floegence/floret/v2/runtime.ThreadID	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: field CreateThreadRequest.CreateIntentID github.com/floegence/floret/v2/runtime.CreateIntentID	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: method CreateThreadRequest.Validate func() error	remove	-	remove historical capability, unbound DTO, or consumerless export from the v3 application surface
github.com/floegence/floret/v2/runtime :: type EffectAuthorizationGate interface interface{Dispatch(context.Context, github.com/floegence/floret/v2/runtime.EffectAuthorizationRequest, github.com/floegence/floret/v2/runtime.AuthorizedEffect) (github.com/floegence/floret/v2/runtime.EffectDispatchResult, error)}	keep	github.com/floegence/floret/v3/runtime :: type EffectAuthorizationGate interface interface{Dispatch(context.Context, github.com/floegence/floret/v3/runtime.EffectAuthorizationRequest, github.com/floegence/floret/v3/runtime.AuthorizedEffect) (github.com/floegence/floret/v3/runtime.EffectDispatchResult, error)}	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: type EffectAuthorizationGateFunc func(context.Context, github.com/floegence/floret/v2/runtime.EffectAuthorizationRequest, github.com/floegence/floret/v2/runtime.AuthorizedEffect) (github.com/floegence/floret/v2/runtime.EffectDispatchResult, error)	keep	github.com/floegence/floret/v3/runtime :: type EffectAuthorizationGateFunc func(context.Context, github.com/floegence/floret/v3/runtime.EffectAuthorizationRequest, github.com/floegence/floret/v3/runtime.AuthorizedEffect) (github.com/floegence/floret/v3/runtime.EffectDispatchResult, error)	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: method EffectAuthorizationGateFunc.Dispatch func(ctx context.Context, req github.com/floegence/floret/v2/runtime.EffectAuthorizationRequest, effect github.com/floegence/floret/v2/runtime.AuthorizedEffect) (github.com/floegence/floret/v2/runtime.EffectDispatchResult, error)	keep	github.com/floegence/floret/v3/runtime :: method EffectAuthorizationGateFunc.Dispatch func(ctx context.Context, req github.com/floegence/floret/v3/runtime.EffectAuthorizationRequest, effect github.com/floegence/floret/v3/runtime.AuthorizedEffect) (github.com/floegence/floret/v3/runtime.EffectDispatchResult, error)	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: type EffectAuthorizationProof struct	keep	github.com/floegence/floret/v3/runtime :: type EffectAuthorizationProof struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.EffectAttemptID string tag="json:\"effect_attempt_id\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.EffectAttemptID string tag="json:\"effect_attempt_id\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.RequestFingerprint string tag="json:\"request_fingerprint\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.RequestFingerprint string tag="json:\"request_fingerprint\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.ThreadID github.com/floegence/floret/v2/runtime.ThreadID tag="json:\"thread_id\""	move	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.ThreadID github.com/floegence/floret/v3/identity.ThreadID tag="json:\"thread_id\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.TurnID github.com/floegence/floret/v2/runtime.TurnID tag="json:\"turn_id\""	move	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.TurnID github.com/floegence/floret/v3/identity.TurnID tag="json:\"turn_id\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.RunID github.com/floegence/floret/v2/runtime.RunID tag="json:\"run_id\""	move	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.RunID github.com/floegence/floret/v3/identity.RunID tag="json:\"run_id\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.ToolCallID string tag="json:\"tool_call_id\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.ToolCallID string tag="json:\"tool_call_id\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.LeaseOwnerID string tag="json:\"lease_owner_id\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.LeaseOwnerID string tag="json:\"lease_owner_id\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.LeaseGeneration int64 tag="json:\"lease_generation\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.LeaseGeneration int64 tag="json:\"lease_generation\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.PolicyRevision string tag="json:\"policy_revision\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.PolicyRevision string tag="json:\"policy_revision\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.ApprovalID string tag="json:\"approval_id,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.ApprovalID string tag="json:\"approval_id,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.AuditReference string tag="json:\"audit_reference\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.AuditReference string tag="json:\"audit_reference\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.AuditHash string tag="json:\"audit_hash\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.AuditHash string tag="json:\"audit_hash\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationProof.AuthorizedAt time.Time tag="json:\"authorized_at\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationProof.AuthorizedAt time.Time tag="json:\"authorized_at\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: type EffectAuthorizationRequest struct	keep	github.com/floegence/floret/v3/runtime :: type EffectAuthorizationRequest struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.EffectAttemptID string tag="json:\"effect_attempt_id\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.EffectAttemptID string tag="json:\"effect_attempt_id\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.RequestFingerprint string tag="json:\"request_fingerprint\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.RequestFingerprint string tag="json:\"request_fingerprint\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.ThreadID github.com/floegence/floret/v2/runtime.ThreadID tag="json:\"thread_id\""	move	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.ThreadID github.com/floegence/floret/v3/identity.ThreadID tag="json:\"thread_id\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.TurnID github.com/floegence/floret/v2/runtime.TurnID tag="json:\"turn_id\""	move	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.TurnID github.com/floegence/floret/v3/identity.TurnID tag="json:\"turn_id\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.RunID github.com/floegence/floret/v2/runtime.RunID tag="json:\"run_id\""	move	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.RunID github.com/floegence/floret/v3/identity.RunID tag="json:\"run_id\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.ToolCallID string tag="json:\"tool_call_id\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.ToolCallID string tag="json:\"tool_call_id\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.ToolName string tag="json:\"tool_name\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.ToolName string tag="json:\"tool_name\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.ArgumentHash string tag="json:\"argument_hash\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.ArgumentHash string tag="json:\"argument_hash\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.Step int tag="json:\"step\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.Step int tag="json:\"step\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.BatchIndex int tag="json:\"batch_index\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.BatchIndex int tag="json:\"batch_index\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.BatchSize int tag="json:\"batch_size\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.BatchSize int tag="json:\"batch_size\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.Labels map[string]string tag="json:\"labels,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.Labels map[string]string tag="json:\"labels,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.HostContext map[string]string tag="json:\"host_context,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.HostContext map[string]string tag="json:\"host_context,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.Resources []github.com/floegence/floret/v2/tools.ResourceRef tag="json:\"resources,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.Resources []github.com/floegence/floret/v3/tools.ResourceRef tag="json:\"resources,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.Effects []github.com/floegence/floret/v2/tools.Effect tag="json:\"effects,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.Effects []github.com/floegence/floret/v3/tools.Effect tag="json:\"effects,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.Permission github.com/floegence/floret/v2/tools.PermissionSpec tag="json:\"permission\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.Permission github.com/floegence/floret/v3/tools.PermissionSpec tag="json:\"permission\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.ReadOnly bool tag="json:\"read_only\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.ReadOnly bool tag="json:\"read_only\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.Destructive bool tag="json:\"destructive\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.Destructive bool tag="json:\"destructive\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.OpenWorld bool tag="json:\"open_world\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.OpenWorld bool tag="json:\"open_world\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.LeaseOwnerID string tag="json:\"lease_owner_id\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.LeaseOwnerID string tag="json:\"lease_owner_id\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.LeaseGeneration int64 tag="json:\"lease_generation\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.LeaseGeneration int64 tag="json:\"lease_generation\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field EffectAuthorizationRequest.ObservedHeartbeat int64 tag="json:\"observed_heartbeat\""	keep	github.com/floegence/floret/v3/runtime :: field EffectAuthorizationRequest.ObservedHeartbeat int64 tag="json:\"observed_heartbeat\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: type EffectDispatchResult struct	keep	github.com/floegence/floret/v3/runtime :: type EffectDispatchResult struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrAgentTodoVersionConflict error	keep	github.com/floegence/floret/v3/runtime :: var ErrAgentTodoVersionConflict error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrArtifactNotFound error	keep	github.com/floegence/floret/v3/runtime :: var ErrArtifactNotFound error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrAuthorityCorrupt error	keep	github.com/floegence/floret/v3/runtime :: var ErrAuthorityCorrupt error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrAuthorizationContract error	keep	github.com/floegence/floret/v3/runtime :: var ErrAuthorizationContract error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrAuthorizationUnavailable error	keep	github.com/floegence/floret/v3/runtime :: var ErrAuthorizationUnavailable error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrEffectDispatchConsumed error	keep	github.com/floegence/floret/v3/runtime :: var ErrEffectDispatchConsumed error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrEffectOutcomeUnknown error	keep	github.com/floegence/floret/v3/runtime :: var ErrEffectOutcomeUnknown error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrEffectUnauthorized error	keep	github.com/floegence/floret/v3/runtime :: var ErrEffectUnauthorized error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrForkDestinationConflict error	keep	github.com/floegence/floret/v3/runtime :: var ErrForkDestinationConflict error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrForkOperationConflict error	keep	github.com/floegence/floret/v3/runtime :: var ErrForkOperationConflict error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrInterruptedTurnNotFound error	keep	github.com/floegence/floret/v3/runtime :: var ErrInterruptedTurnNotFound error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrInvalidAuthorizationProof error	keep	github.com/floegence/floret/v3/runtime :: var ErrInvalidAuthorizationProof error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrInvalidThreadInventoryCursor error	keep	github.com/floegence/floret/v3/runtime :: var ErrInvalidThreadInventoryCursor error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrInvalidThreadTurnCursor error	keep	github.com/floegence/floret/v3/runtime :: var ErrInvalidThreadTurnCursor error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrJournalInvariant error	keep	github.com/floegence/floret/v3/runtime :: var ErrJournalInvariant error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrMigrationRequired error	keep	github.com/floegence/floret/v3/runtime :: var ErrMigrationRequired error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrNoRetryTarget error	keep	github.com/floegence/floret/v3/runtime :: var ErrNoRetryTarget error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrPendingToolNotActive error	keep	github.com/floegence/floret/v3/runtime :: var ErrPendingToolNotActive error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrPendingToolNotFound error	keep	github.com/floegence/floret/v3/runtime :: var ErrPendingToolNotFound error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrPendingToolSettlementConflict error	keep	github.com/floegence/floret/v3/runtime :: var ErrPendingToolSettlementConflict error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrRecoveryTargetResolved error	keep	github.com/floegence/floret/v3/runtime :: var ErrRecoveryTargetResolved error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrRequestConflict error	keep	github.com/floegence/floret/v3/runtime :: var ErrRequestConflict error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrRunNotFound error	keep	github.com/floegence/floret/v3/runtime :: var ErrRunNotFound error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrStaleAuthority error	keep	github.com/floegence/floret/v3/runtime :: var ErrStaleAuthority error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrStaleThreadTurnCursor error	keep	github.com/floegence/floret/v3/runtime :: var ErrStaleThreadTurnCursor error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrStoreClosed error	keep	github.com/floegence/floret/v3/runtime :: var ErrStoreClosed error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrSubAgentClosed error	keep	github.com/floegence/floret/v3/runtime :: var ErrSubAgentClosed error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrSubAgentClosing error	keep	github.com/floegence/floret/v3/runtime :: var ErrSubAgentClosing error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrSubAgentNotFound error	keep	github.com/floegence/floret/v3/runtime :: var ErrSubAgentNotFound error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrSubAgentParentRequired error	keep	github.com/floegence/floret/v3/runtime :: var ErrSubAgentParentRequired error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrThreadAuthorityInvariant error	keep	github.com/floegence/floret/v3/runtime :: var ErrThreadAuthorityInvariant error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrThreadBusy error	keep	github.com/floegence/floret/v3/runtime :: var ErrThreadBusy error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrThreadDeleted error	keep	github.com/floegence/floret/v3/runtime :: var ErrThreadDeleted error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrThreadNotActive error	keep	github.com/floegence/floret/v3/runtime :: var ErrThreadNotActive error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrThreadNotFound error	keep	github.com/floegence/floret/v3/runtime :: var ErrThreadNotFound error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrTurnNotFound error	keep	github.com/floegence/floret/v3/runtime :: var ErrTurnNotFound error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrUnsupportedSchema error	keep	github.com/floegence/floret/v3/runtime :: var ErrUnsupportedSchema error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: var ErrUnsupportedStoreCapability error	keep	github.com/floegence/floret/v3/runtime :: var ErrUnsupportedStoreCapability error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: type Event struct	keep	github.com/floegence/floret/v3/runtime :: type Event struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.Type github.com/floegence/floret/v2/observation.EventType tag="json:\"type\""	keep	github.com/floegence/floret/v3/runtime :: field Event.Type github.com/floegence/floret/v3/observation.EventType tag="json:\"type\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.TraceID github.com/floegence/floret/v2/runtime.TraceID tag="json:\"trace_id,omitempty\""	move	github.com/floegence/floret/v3/runtime :: field Event.TraceID github.com/floegence/floret/v3/identity.TraceID tag="json:\"trace_id,omitempty\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field Event.RunID github.com/floegence/floret/v2/runtime.RunID tag="json:\"run_id,omitempty\""	move	github.com/floegence/floret/v3/runtime :: field Event.RunID github.com/floegence/floret/v3/identity.RunID tag="json:\"run_id,omitempty\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field Event.ThreadID github.com/floegence/floret/v2/runtime.ThreadID tag="json:\"thread_id,omitempty\""	move	github.com/floegence/floret/v3/runtime :: field Event.ThreadID github.com/floegence/floret/v3/identity.ThreadID tag="json:\"thread_id,omitempty\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field Event.TurnID github.com/floegence/floret/v2/runtime.TurnID tag="json:\"turn_id,omitempty\""	move	github.com/floegence/floret/v3/runtime :: field Event.TurnID github.com/floegence/floret/v3/identity.TurnID tag="json:\"turn_id,omitempty\""	use the canonical identity package without string degradation or cross-identity inference
github.com/floegence/floret/v2/runtime :: field Event.Step int tag="json:\"step,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field Event.Step int tag="json:\"step,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.Provider string tag="json:\"provider,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field Event.Provider string tag="json:\"provider,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.Model string tag="json:\"model,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field Event.Model string tag="json:\"model,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.Message string tag="json:\"message,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field Event.Message string tag="json:\"message,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.Result string tag="json:\"result,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field Event.Result string tag="json:\"result,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.Error string tag="json:\"error,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field Event.Error string tag="json:\"error,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/runtime :: field Event.ToolID string tag="json:\"tool_id,omitempty\""	keep	github.com/floegence/floret/v3/runtime :: field Event.ToolID string tag="json:\"tool_id,omitempty\""	retain the product-neutral contract under the v3 semantic import path
